1,5_US_137.txt,1803,"WILLIAM MARBURY v. JAMES MADISON, SECRETARY OF STATE OF THE UNITED STATES.",5_US_137,"judicial review"
2,60_US_393.txt,1857,"DRED SCOTT, PLAINTIFF IN ERROR, v. JOHN F. A. SANDFORD.",60_US_393,"equality and discrimination: race"
3,92_US_542.txt,1876,UNITED STATES v. CRUIKSHANK ET AL.,92_US_542,"second amendment"
4,94_US_113.txt,1877,MUNN v. ILLINOIS.,94_US_113,"due process - equal protection"
5,98_US_145.txt,1879,REYNOLDS v. UNITED STATES.,98_US_145,"religion"
6,100_US_303.txt,1880,STRAUDER v. WEST VIRGINIA.,100_US_303,"equality - equal protection - due process"
7,112_US_94.txt,1884,ELK v. WILKINS.,112_US_94,"fourteenth amendment - citizenship"
8,116_US_252.txt,1886,PRESSER v. ILLINOIS.,116_US_252,"second amendment"
9,118_US_356.txt,1886,"YICK WO v. HOPKINS, SHERIFF.; WO LEE v. HOPKINS, SHERIFF.",118_US_356,"fourteenth amendment - due process"
10,123_US_623.txt,1887,MUGLER v. KANSAS.; SAME v. SAME.; KANSAS v. ZIEBOLD.,123_US_623,"fourteenth amendment - due process"
11,133_US_333.txt,1890,DAVIS v. BEASON.,133_US_333,"religion"
12,163_US_537.txt,1896,PLESSY v. FERGUSON.,163_US_537,"equality and discrimination: race"
13,165_US_578.txt,1897,ALLGEYER v. LOUISIANA.,165_US_578,"economic rights"
14,169_US_366.txt,1898,HOLDEN v. HARDY (NO. 1).; HOLDEN v. HARDY (NO. 2).,169_US_366,"due process - equal protection"
15,169_US_649.txt,1898,UNITED STATES v. WONG KIM ARK.,169_US_649,"citizenship"
16,197_US_11.txt,1905,JACOBSON v. MASSACHUSETTS,197_US_11,"due process - equal protection"
17,198_US_45.txt,1905,LOCHNER v. NEW YORK,198_US_45,"economic rights"
18,211_US_45.txt,1908,BEREA COLLEGE v. COMMONWEALTH OF KENTUCKY.,211_US_45,"equality - equal protection - due process"
19,208_US_412.txt,1908,"MULLER, PLAINTIFF IN ERROR, v. THE STATE OF OREGON.",208_US_412,"equality and discrimination: sex"
20,187_US_606.txt,1908,OTIS v. PARKER,187_US_606,"due process - equal protection"
21,245_US_60.txt,1917,BUCHANAN v. WARLEY,245_US_60,"fourteenth amendment - due process"
22,243_US_426.txt,1917,BUNTING v. STATE OF OREGON,243_US_426,"due process - equal protection"
23,245_US_366.txt,1918,SELECTIVE DRAFT LAW CASES.  1,245_US_366,"freedom from military service"
24,236_US_230.txt,1919,MUTUAL FILM CORPORATION v. INDUSTRIAL COMMISSION OF OHIO,236_US_230,"speech"
25,254_US_281.txt,1920,UNITED STATES v. WHEELER ET AL.,254_US_281,"movement"
26,260_US_174.txt,1922,"ZUCHT, BY HER NEXT FRIEND, ETC. v. KING ET AL.",260_US_174,"due process - equal protection"
27,261_US_525.txt,1923,"ADKINS ET AL., CONSTITUTING THE MINIMUM WAGE BOARD OF THE DISTRICT OF COLUMBIA, v. CHILDREN'S HOSPITAL OF THE DISTRICT OF COLUMBIA.; SAME v. LYONS.",261_US_525,"due process - equal protection"
28,262_US_390.txt,1923,MEYER v. STATE OF NEBRASKA.,262_US_390,"due process"
29,268_US_652.txt,1925,GITLOW v. PEOPLE OF NEW YORK,268_US_652,"equality - equal protection - due process"
30,268_US_652.txt,1925,GITLOW v. PEOPLE OF NEW YORK,268_US_652,"speech"
31,268_US_510.txt,1925,"PIERCE, GOVERNOR OF OREGON, ET AL. v. SOCIETY OF SISTERS; PIERCE, GOVERNOR OF OREGON, ET AL. v. HILL MILITARY ACADEMY",268_US_510,"due process"
32,272_US_365.txt,1926,VILLAGE OF EUCLID ET AL. v. AMBLER REALTY COMPANY,272_US_365,""
33,274_US_200.txt,1927,"BUCK v. BELL, SUPERINTENDENT",274_US_200,"due process - equal protection"
34,273_US_536.txt,1927,NIXON v. HERNDON ET AL.,273_US_536,"due process - equal protection"
35,283_US_697.txt,1931,"NEAR v. MINNESOTA EX REL. OLSON, COUNTY ATTORNEY",283_US_697,"speech"
36,283_US_359.txt,1931,STROMBERG v. CALIFORNIA,283_US_359,"speech"
37,291_US_502.txt,1934,NEBBIA v. NEW YORK,291_US_502,"fourteenth amendment - due process"
38,293_US_465.txt,1935,"GREGORY v. HELVERING, COMMISSIONER OF INTERNAL REVENUE",293_US_465,"economic rights"
39,297_US_278.txt,1936,BROWN ET AL. v. MISSISSIPPI,297_US_278,"NODATA"
40,300_US_379.txt,1937,WEST COAST HOTEL CO. v. PARRISH ET AL.,300_US_379,"economic rights"
41,305_US_337.txt,1938,"MISSOURI EX REL. GAINES v. CANADA",305_US_337,"due process - equal protection"
